step,chosen_len,rejected_len,len_diff
5,270.5875,292.2625,-21.67500000000001
10,301.2625,294.5875,6.675000000000011
15,294.0375,277.8125,16.225000000000023
20,330.0125,350.3125,-20.30000000000001
25,307.05,317.9,-10.849999999999966
30,303.475,292.0,11.475000000000023
35,277.1375,290.4375,-13.300000000000011
40,273.65,282.725,-9.075000000000045
45,304.55,299.8375,4.712500000000034
50,306.95,307.0875,-0.13749999999998863
55,263.3625,271.3875,-8.024999999999977
60,276.05,314.5875,-38.537499999999966
65,276.4125,293.75,-17.337499999999977
70,308.4625,328.5125,-20.05000000000001
75,283.5125,305.5875,-22.07499999999999
80,293.9625,296.025,-2.0625
85,266.225,274.8,-8.574999999999989
90,250.5625,291.7125,-41.14999999999998
95,253.725,270.8625,-17.137500000000017
100,301.525,301.725,-0.20000000000004547
105,324.075,319.6875,4.387499999999989
110,257.05,284.95,-27.899999999999977
115,303.4625,313.1625,-9.700000000000045
120,277.275,288.6125,-11.337500000000034
125,313.2125,329.2625,-16.05000000000001
130,303.4375,311.075,-7.637499999999989
135,282.85,285.1125,-2.2624999999999886
140,271.2,282.4625,-11.262499999999989
145,273.9,315.775,-41.875
150,238.3875,275.275,-36.88749999999999
155,293.0625,311.5125,-18.44999999999999
160,267.3125,266.1875,1.125
165,318.8,333.725,-14.925000000000011
170,273.7375,276.35,-2.6125000000000114
175,285.5125,286.4,-0.8874999999999886
180,287.6,264.45,23.150000000000034
185,308.35,290.0625,18.287500000000023
190,234.1375,263.9875,-29.850000000000023
195,283.7,287.675,-3.9750000000000227
200,283.2125,265.35,17.862499999999955
205,267.0125,265.375,1.6374999999999886
210,291.2,313.4125,-22.212500000000034
215,284.65,274.4625,10.1875
220,285.9375,283.95,1.9875000000000114
225,271.5125,291.9125,-20.400000000000034
230,276.0375,292.15,-16.112499999999955
235,295.7625,278.2125,17.55000000000001
240,269.6125,311.575,-41.96249999999998
245,269.65,277.8,-8.150000000000034
250,288.5625,311.075,-22.51249999999999
255,312.3875,302.225,10.162499999999966
260,291.9375,280.0625,11.875
265,282.975,287.525,-4.5499999999999545
270,269.6875,283.675,-13.987500000000011
275,257.4125,250.3,7.112500000000011
280,286.525,277.2125,9.3125
285,287.5375,282.4125,5.125
290,276.85,285.0375,-8.1875
295,319.9625,299.875,20.087499999999977
300,290.075,295.1375,-5.0625
305,284.1875,273.8125,10.375
310,280.4625,270.725,9.737499999999955
315,305.8,327.0625,-21.26249999999999
320,290.6375,279.3625,11.274999999999977
325,329.8875,292.1125,37.77499999999998
330,287.8625,291.65,-3.787499999999966
335,256.1625,286.925,-30.76249999999999
340,291.0,329.9875,-38.98750000000001
345,277.0125,242.5,34.51249999999999
350,266.6375,306.3375,-39.69999999999999
355,294.625,298.8,-4.175000000000011
360,281.6375,306.1875,-24.55000000000001
365,274.075,261.725,12.349999999999966
370,277.9625,307.975,-30.012500000000045
375,251.6625,270.2625,-18.599999999999994
380,245.68,311.02666666666664,-65.34666666666664
